fill_number,first_run_number,last_run_number,duration,start_time,start_stable_beam,end_stable_beam,end_time,delivered_lumi,recorded_lumi,efficiency_time,efficiency_lumi,peak_lumi,peak_pileup,bunches_colliding,beta_star,energy,injection_scheme
7408,326005,326011,,2018-11-05 06:35:01,,,2018-11-05 09:02:21,0.0,0.0,,,0.0,,,,0.0,Multi_525ns_152_150_0_0_8bpi_19inj
7407,326001,326004,6813,2018-11-05 03:37:23,2018-11-05 04:33:58,2018-11-05 06:27:31,2018-11-05 06:35:01,0.004967672348,0.004755597591,96.8,95.731,8.5595369E-5,3.957951,150,1100.0,450.0,Multi_525ns_152_150_0_0_8bpi_19inj
7406,326000,326000,5544,2018-11-05 01:08:49,2018-11-05 02:01:10,2018-11-05 03:33:34,2018-11-05 03:37:23,0.00405757618,0.004011244774,100.0,98.858,8.3577424E-5,3.864641,150,1100.0,449.88,Multi_525ns_152_150_0_0_8bpi_19inj
7405,325999,325999,,2018-11-04 23:30:57,,,2018-11-05 01:08:49,0.0,0.0,,,0.0,,,,0.0,Multi_525ns_152_150_0_0_8bpi_19inj
7404,325997,325998,,2018-11-04 22:58:14,,,2018-11-04 23:30:57,0.0,0.0,,,0.0,,,,0.0,Single_10b_2_2_2_+7ncoll
7403,325980,325994,,2018-11-04 18:11:23,,,2018-11-04 22:58:14,0.0,0.0,,,0.0,,,,0.0,Single_10b_2_2_2_+7ncoll
7402,325957,325979,,2018-11-04 06:36:02,,,2018-11-04 18:11:23,0.0,0.0,,,0.0,,,,0.0,Single_25b_5_5_5_15non_coll
7401,325950,325955,,2018-11-04 04:05:45,,,2018-11-04 06:36:02,0.0,0.0,,,0.0,,,,0.0,Multi_34b_18_18_18_4bpi_13inj
7400,325946,325949,,2018-11-03 18:37:58,,,2018-11-04 04:05:45,0.0,0.0,,,0.0,,,,0.0,
7399,325937,325945,,2018-11-03 15:14:23,,,2018-11-03 18:37:58,0.0,0.0,,,0.0,,,,0.0,
7398,325919,325934,,2018-11-03 12:50:11,,,2018-11-03 15:14:23,0.0,0.0,,,0.0,,,,0.0,
7397,325870,325913,,2018-11-03 08:58:13,,,2018-11-03 12:50:11,0.0,0.0,,,0.0,,,,0.0,
7396,325835,325869,,2018-11-02 20:09:57,,,2018-11-03 08:58:13,0.0,0.0,,,0.0,,,,0.0,
7395,325530,325830,,2018-10-31 05:53:54,,,2018-11-02 20:09:57,0.0,0.0,,,0.0,,,,0.0,
7394,325525,325529,,2018-10-31 00:50:51,,,2018-10-31 05:53:54,0.0,0.0,,,0.0,,,,0.0,
7393,325522,325524,,2018-10-30 23:10:09,,,2018-10-31 00:50:51,0.0,0.0,,,0.0,,,,0.0,
7392,325500,325520,,2018-10-30 16:50:41,,,2018-10-30 23:10:09,0.0,0.0,,,0.0,,,,0.0,
7391,325467,325497,,2018-10-30 08:54:23,,,2018-10-30 16:50:41,0.0,0.0,,,0.0,,,,0.0,
7390,325464,325466,,2018-10-30 02:30:20,,,2018-10-30 08:54:23,0.0,0.0,,,0.0,,,,0.0,
7389,,,,2018-10-30 00:42:42,,,2018-10-30 02:30:20,0.0,0.0,,,0.0,,,,0.0,
7388,325458,325463,,2018-10-29 21:04:17,,,2018-10-30 00:42:42,0.0,0.0,,,0.0,,,,0.0,
7387,325449,325449,,2018-10-29 14:35:50,,,2018-10-29 21:04:17,0.0,0.0,,,0.0,,,,0.0,
7386,325426,325430,,2018-10-29 09:26:41,,,2018-10-29 14:35:50,0.0,0.0,,,0.0,,,,0.0,
7385,325419,325422,,2018-10-29 03:03:17,,,2018-10-29 09:26:41,0.0,0.0,,,0.0,,,,0.0,
7384,,,,2018-10-29 01:24:20,,,2018-10-29 03:03:17,0.0,0.0,,,0.0,,,,0.0,
7383,,,,2018-10-29 01:02:05,,,2018-10-29 01:24:20,0.0,0.0,,,0.0,,,,0.0,
7382,,,,2018-10-29 00:30:27,,,2018-10-29 01:02:05,0.0,0.0,,,0.0,,,,0.0,
7381,,,,2018-10-29 00:13:31,,,2018-10-29 00:30:27,0.0,0.0,,,0.0,,,,0.0,
7380,,,,2018-10-28 23:52:44,,,2018-10-29 00:13:31,0.0,0.0,,,0.0,,,,0.0,
7379,,,,2018-10-28 23:02:59,,,2018-10-28 23:52:44,0.0,0.0,,,0.0,,,,0.0,
7378,325410,325418,,2018-10-28 13:52:26,,,2018-10-28 23:02:59,0.0,0.0,,,0.0,,,,0.0,
7377,,,,2018-10-28 10:38:00,,,2018-10-28 13:52:26,0.0,0.0,,,0.0,,,,0.0,
7376,,,,2018-10-28 07:25:51,,,2018-10-28 10:38:00,0.0,0.0,,,0.0,,,,0.0,
7375,,,,2018-10-28 02:45:41,,,2018-10-28 07:25:51,0.0,0.0,,,0.0,,,,0.0,
7374,,,,2018-10-28 01:38:30,,,2018-10-28 02:45:41,0.0,0.0,,,0.0,,,,0.0,
7373,,,,2018-10-28 00:17:50,,,2018-10-28 01:38:30,0.0,0.0,,,0.0,,,,0.0,
7372,,,,2018-10-27 19:25:06,,,2018-10-28 00:17:50,0.0,0.0,,,0.0,,,,0.0,
7371,,,,2018-10-27 19:11:40,,,2018-10-27 19:25:06,0.0,0.0,,,0.0,,,,0.0,
7370,,,,2018-10-27 17:27:59,,,2018-10-27 19:11:40,0.0,0.0,,,0.0,,,,0.0,
7369,325396,325399,,2018-10-27 11:31:05,,,2018-10-27 17:27:59,0.0,0.0,,,0.0,,,,0.0,
7368,325394,325395,,2018-10-27 08:04:05,,,2018-10-27 11:31:05,0.0,0.0,,,0.0,,,,0.0,
7367,325390,325391,,2018-10-27 02:55:23,,,2018-10-27 08:04:05,0.0,0.0,,,0.0,,,,0.0,
7366,325381,325387,,2018-10-26 22:41:23,,,2018-10-27 02:55:23,0.0,0.0,,,0.0,,,,0.0,
7365,325370,325372,,2018-10-26 19:18:49,,,2018-10-26 22:41:23,0.0,0.0,,,0.0,,,,0.0,
7364,325369,325369,,2018-10-26 18:36:22,,,2018-10-26 19:18:49,0.0,0.0,,,0.0,,,,0.0,
7363,325354,325361,,2018-10-26 15:22:33,,,2018-10-26 18:36:22,0.0,0.0,,,0.0,,,,0.0,
7362,325338,325343,,2018-10-26 13:13:14,,,2018-10-26 15:22:33,0.0,0.0,,,0.0,,,,0.0,
7361,,,,2018-10-26 12:20:37,,,2018-10-26 13:13:14,0.0,0.0,,,0.0,,,,0.0,
7360,325327,325327,,2018-10-26 11:35:11,,,2018-10-26 12:20:37,0.0,0.0,,,0.0,,,,0.0,
7359,325314,325326,,2018-10-26 08:28:49,,,2018-10-26 11:35:11,0.0,0.0,,,0.0,,,,0.0,
7358,325302,325310,7890,2018-10-26 03:04:12,2018-10-26 06:11:24,2018-10-26 08:22:53,2018-10-26 08:28:49,3.56879296875,3.180000976563,95.576,89.106,0.039518811035,108.127808,26,30.0,6499.08,25ns_26b_26_9_12_12bpi_4inj_MD3294
7357,325300,325300,,2018-10-25 22:02:06,,,2018-10-26 03:04:12,0.0,0.0,,,0.0,,,,0.0,
7356,325298,325298,,2018-10-25 20:39:09,,,2018-10-25 22:02:06,0.0,0.0,,,0.0,,,,0.0,
7355,,,,2018-10-25 19:17:00,,,2018-10-25 20:39:09,0.0,0.0,,,0.0,,,,0.0,
7354,,,,2018-10-25 17:09:33,,,2018-10-25 19:17:00,0.0,0.0,,,0.0,,,,0.0,
7353,325288,325295,,2018-10-25 14:25:07,,,2018-10-25 17:09:33,0.0,0.0,,,0.0,,,,0.0,
7352,325287,325287,,2018-10-25 13:42:45,,,2018-10-25 14:25:07,0.0,0.0,,,0.0,,,,0.0,
7351,325283,325284,,2018-10-25 13:16:15,,,2018-10-25 13:42:45,0.0,0.0,,,0.0,,,,0.0,
7350,325280,325282,,2018-10-25 12:38:05,,,2018-10-25 13:16:15,0.0,0.0,,,0.0,,,,0.0,
7349,325270,325277,,2018-10-25 11:25:21,,,2018-10-25 12:38:05,0.0,0.0,,,0.0,,,,0.0,
7348,325261,325261,,2018-10-25 10:00:41,,,2018-10-25 11:25:21,0.0,0.0,,,0.0,,,,0.0,
7347,325233,325245,,2018-10-25 07:47:29,,,2018-10-25 10:00:41,0.0,0.0,,,0.0,,,,0.0,
7346,,,,2018-10-25 05:43:35,,,2018-10-25 07:47:29,0.0,0.0,,,0.0,,,,0.0,
7345,,,,2018-10-25 04:44:55,,,2018-10-25 05:43:35,0.0,0.0,,,0.0,,,,0.0,
7344,325232,325232,,2018-10-25 04:01:44,,,2018-10-25 04:44:55,0.0,0.0,,,0.0,,,,0.0,
7343,,,,2018-10-25 02:37:43,,,2018-10-25 04:01:44,0.0,0.0,,,0.0,,,,0.0,
7342,,,,2018-10-25 01:19:53,,,2018-10-25 02:37:43,0.0,0.0,,,0.0,,,,0.0,
7341,325226,325231,,2018-10-24 20:42:16,,,2018-10-25 01:19:53,0.0,0.0,,,0.0,,,,0.0,
7340,325224,325225,,2018-10-24 17:52:24,,,2018-10-24 20:42:16,0.0,0.0,,,0.0,,,,0.0,
7339,325221,325222,,2018-10-24 16:39:49,,,2018-10-24 17:52:24,0.0,0.0,,,0.0,,,,0.0,
7338,325214,325220,,2018-10-24 14:42:16,,,2018-10-24 16:39:49,0.0,0.0,,,0.0,,,,0.0,
7337,325206,325211,,2018-10-24 12:58:33,,,2018-10-24 14:42:16,0.0,0.0,,,0.0,,,,0.0,
7336,325193,325204,,2018-10-24 09:06:01,,,2018-10-24 12:58:33,0.0,0.0,,,0.0,,,,0.0,
7335,325177,325188,,2018-10-24 04:07:36,,,2018-10-24 09:06:01,0.0,0.0,,,0.0,,,,0.0,
7334,325139,325175,48277,2018-10-23 11:22:40,2018-10-23 14:36:55,2018-10-24 04:01:32,2018-10-24 04:07:36,449.92878125,413.007375,95.872,91.794,1.481096679688,41.432762,2544,30.0,6498.96,25ns_2556b_2544_2215_2332_144bpi_20injV3
7333,325087,325117,50261,2018-10-22 18:48:56,2018-10-22 21:17:59,2018-10-23 11:15:40,2018-10-23 11:22:40,559.945875,490.8955625,90.977,87.668,1.927610546875,53.923714,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7332,325063,325083,,2018-10-22 16:27:30,,,2018-10-22 18:48:56,0.0,0.0,,,0.0,,,,0.0,
7331,325055,325057,8050,2018-10-22 12:33:19,2018-10-22 14:06:23,2018-10-22 16:20:33,2018-10-22 16:27:30,127.9258984375,121.1766328125,100.0,94.724,1.818938476563,50.883678,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7330,325054,325054,,2018-10-22 11:37:51,,,2018-10-22 12:33:19,0.0,0.0,,,0.0,,,,0.0,
7329,325023,325052,,2018-10-22 07:22:03,,,2018-10-22 11:37:51,0.0,0.0,,,0.0,,,,0.0,
7328,325020,325022,36357,2018-10-21 19:44:41,2018-10-21 21:09:41,2018-10-22 07:15:37,2018-10-22 07:22:03,452.29190625,437.12471875,100.0,96.647,1.89323984375,52.962212,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7327,,,,2018-10-21 19:19:16,,,2018-10-21 19:44:41,0.0,0.0,,,0.0,,,,0.0,
7326,325015,325019,,2018-10-21 18:04:13,,,2018-10-21 19:19:16,0.0,0.0,,,0.0,,,,0.0,
7325,325004,325013,,2018-10-21 14:28:32,,,2018-10-21 18:04:13,0.0,0.0,,,0.0,,,,0.0,
7324,324993,325001,35536,2018-10-21 02:31:46,2018-10-21 04:30:35,2018-10-21 14:22:52,2018-10-21 14:28:32,412.64378125,377.22925,96.342,91.418,1.766364648438,49.412956,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7323,324992,324992,,2018-10-21 02:03:10,,,2018-10-21 02:31:46,0.0,0.0,,,0.0,,,,0.0,
7322,324981,324989,,2018-10-20 23:17:55,,,2018-10-21 02:03:10,0.0,0.0,,,0.0,,,,0.0,
7321,324973,324980,53878,2018-10-20 06:01:32,2018-10-20 08:15:18,2018-10-20 23:13:16,2018-10-20 23:17:55,550.8315625,528.02225,100.0,95.859,1.8620390625,52.08939,2544,30.0,6499.08,25ns_2556b_2544_2215_2332_144bpi_20injV3
7320,324964,324970,54499,2018-10-19 12:45:03,2018-10-19 14:49:06,2018-10-20 05:57:25,2018-10-20 06:01:32,545.7830625,522.40640625,99.626,95.717,1.830008984375,51.193367,2544,30.0,6499.2,25ns_2556b_2544_2215_2332_144bpi_20injV3
7319,324944,324957,,2018-10-19 10:32:19,,,2018-10-19 12:45:03,0.0,0.0,,,0.0,,,,0.0,
7318,324900,324941,,2018-10-19 07:41:09,,,2018-10-19 10:32:19,0.0,0.0,,,0.0,,,,0.0,
